route_id,service_id,trip_id,trip_headsign,shape_id,block_id
15,1723,2164945:546102:552097,Cataraqui Centre,1730,552097
19,1708,2168366:546111:549301,Cataraqui Centre,1300,549301
802,1701,2166596:546113:558855,Express - Montreal Street Park & Ride,1312,558855
7,1723,2165206:546115:553115,Grant Timmins/Dalton via John Counter Blvd,1385,553115
7,1724,2165206:546115:558851,Grant Timmins/Dalton via John Counter Blvd,1385,558851
502,1712,2164491:546117:549274,Express - Cataraqui Centre via Princess,1501,549274
19A,1712,2164384:546118:551968,Westbrook,1088,551968
502,1723,2164446:546119:553169,Express - Cataraqui Centre via Princess,1501,553169
502,1724,2164446:546119:558787,Express - Cataraqui Centre via Princess,1501,558787
501,1701,2166340:546120:549341,Express - Cataraqui Centre via Front/Bayridge,1506,549341
22,1723,2165273:546122:552061,First Canada via MacCauley,1443,552061
22,1724,2165273:546122:558862,First Canada via MacCauley,1443,558862
701,1708,2168982:546123:558853,Express - Cataraqui Centre via Downtown,1610,558853
502,1708,2168094:546124:549278,Express - Downtown via Bayridge/Front,1516,549278
701,1708,2168735:546127:558872,Express - Cataraqui Centre via Brock/Bath,1377,558872
13,1708,2169181:546128:558793,Cataraqui North,1441,558793
601,1708,2168921:546130:549099,Express - Queen's/KGH via CFB Kingston,1358,549099
10,1708,2168731:546132:549146,Amherstview,1362,549146
6,1701,2167631:546134:558800,B - Gardiners Centre,1732,558800
13,1708,2169202:546135:552028,Cataraqui North,1441,552028
701,1701,2166711:546137:558867,Express - Cataraqui Centre via Brock/Bath,1377,558867
7,1723,2165050:546138:552068,Grant Timmins/Dalton via John Counter Blvd,1385,552068
7,1724,2165050:546138:558821,Grant Timmins/Dalton via John Counter Blvd,1385,558821
501,1712,2164508:546139:549100,Express - Cataraqui Centre via Front/Bayridge,1506,549100
15,1723,2164310:546143:553137,B - Gardiners Centre,1738,553137
15,1724,2164310:546143:558921,B - Gardiners Centre,1738,558921
502,1708,2168442:546145:549316,Express - Downtown via Bayridge/Front,1516,549316
